,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
0,我-三岁半,None,None,None,None,None,None,None,None,comment,,4317507437223036,None,None,None
1,已经成为舅妈的杜老湿,None,None,None,None,None,None,None,None,comment,回复@外卖王者艾米粒耿:我。。。还真不知道要啥。您好，请问你们耿氏集团美洲地区代购业务有终止期么？以后万一有需求还能找你,4317321470273294,None,None,None
2,胖年糕大队长,None,None,None,None,None,None,None,None,comment,回复@已经成为舅妈的杜老湿:你要啥啊？重的便宜的不带，其他好说,4317321470273294,None,None,None
3,已经成为舅妈的杜老湿,None,None,None,None,None,None,None,None,comment,回复@外卖王者艾米粒耿:夜班啊今天，不然这个点可能我已经睡到连自己是谁都不知道了。。。都代点啥？我看有木有需求,4317321470273294,None,None,None
4,胖年糕大队长,None,None,None,None,None,None,None,None,comment,回复@已经成为舅妈的杜老湿:这么晚不睡？需要代购吗老哥？,4317321470273294,None,None,None
5,已经成为舅妈的杜老湿,None,None,None,None,None,None,None,None,comment,我想说我没睡，但是这次我实在插不上话。。。超纲了。。。,4317321470273294,None,None,None
6,黑家港货店,None,None,None,None,None,None,None,None,comment,,4316530457855952,None,None,None
7,橙色番茄酱,None,None,None,None,None,None,None,None,comment,才发现wuli北北在水里漂着,4316037811907633,None,None,None
8,嚣萌萌,None,None,None,None,None,None,None,None,comment,回复@橙色番茄酱:那必须的！,4316037811907633,None,None,None
9,橙色番茄酱,None,None,None,None,None,None,None,None,comment,这款我家也在用耶，北北妈的推荐还真的不错哒[愛你],4316037811907633,None,None,None
10,嚣萌萌,None,None,None,None,None,None,None,None,comment,回复@打你家儿子了:那必须的,4316037811907633,None,None,None
11,打你家儿子了,None,None,None,None,None,None,None,None,comment,哈哈哈，小北真可爱,4316037811907633,None,None,None
12,十七海千秋,None,None,None,None,None,None,None,None,comment,回复@嚣萌萌:好！！！我抱着手机疯狂刷新,4316037811907633,None,None,None
13,嚣萌萌,None,None,None,None,None,None,None,None,comment,回复@十七海千秋:哈哈哈，还有更好玩的，你等我更新一下,4316037811907633,None,None,None
14,十七海千秋,None,None,None,None,None,None,None,None,comment,小北的小围脖,4316037811907633,None,None,None
15,嚣萌萌,None,None,None,None,None,None,None,None,comment,O网页链接,4316037811907633,None,None,None
16,超话社区,None,None,None,None,None,None,None,None,comment,,4315440132033821,None,None,None
17,YMM客源_m135,None,None,None,None,None,None,None,None,comment,喜欢呢，么么哒,4314950933663087,None,None,None
18,莉lizi小妖,None,None,None,None,None,None,None,None,comment,答案是CBB,4313926445625004,None,None,None
19,一只胖胖哒佛系小仙女,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
20,丫丫不是咩,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
21,爱吃零食的小汤圆,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
22,Curel珂润,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
23,青岚best,None,None,None,None,None,None,None,None,comment,CBB,4313926445625004,None,None,None
24,宛若初生,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
25,宛若初生,None,None,None,None,None,None,None,None,comment,答案就是CBB，一直都在用你，始终如一，不会过敏，不会干燥，皮肤也会越来越好！@Curel珂润,4313926445625004,None,None,None
26,暴瘦是我-_-,None,None,None,None,None,None,None,None,comment,cbb,4313926445625004,None,None,None
27,Cute_宝贝儿,None,None,None,None,None,None,None,None,comment,,4313926445625004,None,None,None
28,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4313816701502931,None,None,None
29,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4313816701502931,None,None,None
30,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4313816701502931,None,None,None
31,偶谛悻符,None,None,None,None,None,None,None,None,comment,什么时候有货啊？现在链接没有货,4313816701502931,None,None,None
