,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,萌齐齐1990,海外日本,female,Lv.14,177,79,509,2018-12-31 22:15:00,2019-03-20 01:38:59,feed,Q酱日本Curel珂润润浸保湿乳霜面霜🔥🔥🔥40g综合面霜类的cosme大赏第一🌺有效成分是神经酰胺和桉树精华，O网页链接护肤#,4323414221337210,0,0,0
1,安汀汀,福建宁德,female,Lv.38,1313,474,3044,2018-12-31 21:48:00,2019-03-20 01:39:17,feed,#ting空瓶#希望明年不要再囤那么多七七八八的了，这两个月用的好烦.....但是这半年皮肤真的好，随时都是光泽肌。curel的保湿水又轻薄又保湿，瓶子也好用，考虑回购了​,4323407463713476,0,2,0
2,--seven-seven--,黑龙江牡丹江,male,Lv.13,742,211,1394,2018-12-31 20:35:00,2019-03-20 01:39:42,feed,包邮日本本土版日本花王Curel珂润润浸保湿滋养乳霜面霜40g【包邮】【在售价】133.50元【下单链接】O网页链接-----------------复制这条信息，￥f9xFbp7urPm￥，打开【手机淘宝】即可下单2牡丹江·道河镇,4323388950098019,0,0,0
3,弗洛伊德写完梦的解析一拍大腿说,黑龙江哈尔滨,female,Lv.46,273,10236,2394,2018-12-31 20:03:00,2019-03-20 01:39:44,feed,空瓶记ASTALIFT艾诗缇胶原莹润澄净卸妆啫喱。（18年12月第五个空瓶👏）谈不上安利也谈不上拔草吧～因为是赶上的清仓bug价，45一支还能要求啥！就算不是很喜欢，但是再赶上这样的价格（做梦）还是会买的！牌子听着好像有点三无，其实是做胶卷的富士旗下的护肤品牌😂第一次知道的时​展开全文c,4323381031454692,0,10,4
4,美眉护肤彩妆,四川成都,female,Lv.22,2648,7768,19842,2018-12-31 18:04:00,2019-03-20 01:39:46,feed,日本本土包邮Curel珂润润浸保湿柔和乳液120ML温和水润~【宝贝描述】日本本土包邮Curel珂润润浸保湿柔和乳液120ML温和水润~【宝贝原价】118.00元【宝贝现价】115元【宝贝立减】3元【宝贝领券】O网页链接,4323351122082623,0,0,0
5,CCcrystal--shop,广东广州,female,Lv.48,4823,13590,6578,2018-12-31 14:43:00,2019-03-20 01:39:49,feed,日本curel珂润面霜40g高保湿，超级多忠实粉丝的牌子～👓被誉为平价科颜氏面霜👇🏻抗敏感不油腻够滋润晚上涂滋润一整晚早上涂上妆很贴服孕妇可用，安全保湿锁水敏感肌肤涂，不过敏不泛红，连续三年拿奖的，很好用,4323300404370504,0,1,0
6,请与白菜同归于尽,福建厦门,male,Lv.14,258,266158,18321,2018-12-31 14:05:00,2019-03-20 01:39:52,feed,珂润（Curel）润浸保湿滋养乳霜40gO网页链接3件5折中可以在5折专区凑单O网页链接参考配图京东自营,4323290811880014,0,22,17
7,今年份改名括号笑括号,广东,female,Lv.9,188,38,2169,2018-12-31 13:41:00,2019-03-20 01:39:54,feed,来个回顾吧！2018年用过的（还有印象的）护肤用品今年的MVP颁给可复美面膜【脸部卸妆】[小仙女]CHANELLEBLANC卸妆gel/FANCL卸妆gel/ORBIS卸妆gel/ORBIS卸妆露/[小仙女]CUREL卸妆gel【眼唇卸妆】曼丹【洁面】CHANELL​展开全文c,4323284923115340,0,0,0
8,泰国代购,海外,female,Lv.14,258,53147,2194,2018-12-31 13:27:00,2019-03-20 01:39:57,feed,curel珂润水乳，性价比之王，强烈推荐。专门针对敏感肌，干燥肌，用过的都说好。质地偏薄，用完皮肤像喝饱了水一样，抗衰消炎滋润，让你从根本上解决皮肤问题。它是日本花王研究室，专门为敏感肌肤设计的护肤品，是日本销量No.1,4323281382864850,0,0,0
10,我是种草小仙女,辽宁,female,Lv.14,1713,6598,2796,2018-12-31 13:24:00,2019-03-20 01:43:38,feed,日本好用の面霜推荐Curel珂润平价但是贵妇都夸好的面霜，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，适合换季，便宜又好用的面霜，保湿性超好​,4323280221395087,0,0,0
11,小蓝鲸海淘拼单凑运费,江苏南京,female,Lv.33,596,1123,3788,2018-12-31 13:23:00,2019-03-20 01:43:59,feed,现货[爱心]Curel珂润面霜40g每次都不够卖的面霜～日本连续3年cosme大赏面霜第一位👑cosme评分最高的一款产品成分在日系面霜中算最简洁的对修复皮脂膜有非常好的功效本身这个系列就是针对敏感干燥肌肤所研发肌肤干燥脆弱皮薄有红血丝的人群一定要试试这款乳霜产品～,4323260848378305,0,0,0
12,林筱雅91,香港,female,Lv.14,556,173,1059,2018-12-31 12:06:00,2019-03-20 01:44:17,feed,💰110KaoCurel花王珂润润浸保湿滋养面霜40g～干燥性敏感肌不孤独‼️日本cosme大赏面霜第一位👑这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要​展开全文c,4323248936531135,0,0,0
