Index,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,浅时光smile,山东枣庄,female,Lv.9,175,129,86,2018-12-15 22:03:00,2019-03-20 01:51:55,feed,130💰🎉🎉珂润面霜、夏天可以用的cosme面霜类第一（高端部门）第一名珂润，第二名polaapex，第三名lamer。curel日本本土珂润面霜，珂润面霜高保湿面霜花王旗下的珂润，为敏感干燥肌而生的品牌。弱酸性配方，日本皮肤科医生推荐，尤其适合干燥敏感皮肤。奶油质地，清爽不油腻～40g​展开全文c,4317613062806738.0,0,0,0
1,香港代购zara折扣pinko小ck,广东,female,Lv.38,585,502405,14161,2018-12-15 18:56:00,2019-03-20 01:52:16,feed,清现货。💰138包邮用了你会感动到流泪的面霜！日本Curel珂润润浸保湿滋养面霜40g干燥性敏感肌日本cosme大賞面霜第一位这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、​展开全文c,4317566002517953.0,0,0,1
2,周周福利社,浙江舟山,female,Lv.28,2017,11166,300,2018-12-15 16:36:00,2019-03-20 01:52:37,feed,"【到手126一只】Curel珂润温和保湿卸妆啫喱130gX2支2,479日元（约150元）多庆屋中文网现有Curel珂润温和保湿卸妆啫喱130gX2支，现到手价日元2479（约150元），有效期至北京时间2018年12月18日，支持直邮。O网页链接Curel珂润是花王旗下干燥敏感肌针对性护肤品牌，其中最为大家所​展开全文c",4317530677566537.0,0,0,0
3,我-三岁半,北京,female,Lv.9,187,62,122,2018-12-15 15:04:00,2019-03-20 01:52:41,feed,#空瓶#几个洗护类空瓶1.屈臣氏自己出的身体乳，便宜大碗，但是家里身体乳太多不回购2.regenerate已经空了两支，但是没感觉到美白效果，男票觉得甜甜的用着不清爽，不会回购啦3.curel珂润一套的洗发护发，保湿效果好适合秋冬4.霸王生发液，买洗发水送的，没效果5.卡诗鱼子酱发膜，搭配加热帽​展开全文c,4317507437223036.0,0,1,0
4,正品好货推荐,其他,male,Lv.9,253,140,6,2018-12-15 12:30:00,2019-03-20 01:53:02,feed,那些平价又好用的洗面奶，你get了吗?现在有不少人都是敏感肌，对于敏感肌而言清洁是格外重要的。因为清洁不干净会造成垃圾角质的堆积从而引|起闭口和痘痘，同时也会影响护肤品的吸收。因此使用洗面奶洗脸时一定要选择温和好用的，下面介绍几款特别好用的平价洗面奶。一、芙丽芳丝净润洗面霜​展开全文c,4317468702452142.0,0,0,2
5,巴黎草莓美妝,no location,male,Lv.47,364,77964,10891,2018-12-15 11:22:00,2019-03-20 01:53:20,feed,#curel珂润泡沫洗面奶#❗孕妇敏感肌都可以用的洗面❤️❤️弱酸性、无香料、无着色、超丰富细腻的泡沫，绝对是值得拥有的一款洁面产品。泡沫很绵密，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。感觉每个毛孔都被洗的干干净净的​展开全文c,4317451690660558.0,0,0,1
6,喵喵酱在日本,海外日本,female,Lv.40,368,4273,11640,2018-12-15 11:08:00,2019-03-20 01:53:40,feed,现货💰188➕国内邮费花王Curel珂润面霜‼️日本连续3年cosme大赏面霜第一位👑第二位是Pola面霜2016年被评为殿堂级产品！重要是完全不贵cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的​展开全文c,4317448200616376.0,0,0,0
7,酷价淘宝优惠券,河北秦皇岛,female,Lv.4,12,34,122,2018-12-15 08:51:00,2019-03-20 01:54:01,feed,珂润水乳！强烈推荐！日本花王珂润，其实珂润的产品非常好用，且平价‼️专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样💧抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，95%亚洲女性使用​展开全文c,4317413539396240.0,0,0,1
8,专柜白菜秒杀菌,山东,female,Lv.6,99,27,98,2018-12-15 07:19:00,2019-03-20 01:54:19,feed,【商品】【日本直邮包税】日本花王珂润面霜【原价】125.0元【券后】110.0元【节省】15.0元---------------推荐理由:日本原装进口，日本花王Curel珂润面霜，深入补水，保湿滋润，紧致滋养，细腻Q弹，抗衰修复面霜，敏感肌适用！女神美肌必备，大牌值得信赖【直邮包税，七天无理由退换货】--------​展开全文c,4317390579827974.0,0,0,0
9,白菜分享姐,山东,female,Lv.6,66,16,68,2018-12-15 07:19:00,2019-03-20 01:54:41,feed,【商品】【日本直邮包税】日本花王珂润面霜【原价】125.0元【券后】110.0元【节省】15.0元---------------推荐理由:日本原装进口，日本花王Curel珂润面霜，深入补水，保湿滋润，紧致滋养，细腻Q弹，抗衰修复面霜，敏感肌适用！女神美肌必备，大牌值得信赖【直邮包税，七天无理由退换货】--------​展开全文c,4317390387192392.0,0,0,1
10,品牌秒杀菌,山东泰安,female,Lv.9,301,128,233,2018-12-15 07:16:00,2019-03-20 01:55:02,feed,【商品】【日本直邮包税】日本花王珂润面霜【原价】125.0元【券后】110.0元【节省】15.0元---------------推荐理由:日本原装进口，日本花王Curel珂润面霜，深入补水，保湿滋润，紧致滋养，细腻Q弹，抗衰修复面霜，敏感肌适用！女神美肌必备，大牌值得信赖【直邮包税，七天无理由退换货】--------​展开全文c,4317389787508022.0,0,0,1
11,胖年糕大队长,浙江杭州,female,Lv.45,402,579,5319,2018-12-15 02:45:00,2019-03-20 01:55:17,feed,这个点国内都睡了，在等外卖有点无聊……说一下相册库存里的几个空瓶①没有没用过ANR的女孩吧？便宜大碗，不管皮肤是好是差，永远可靠值得信赖的糟糠妻精华，alwayshavestock。②Curel卸妆，好像我也累积用了好多支了。这种包装相比大肚子的罐装卸妆膏（比如倩碧）更适合旅游/出差携带。优点是敏​展开全文c,4317321470273294.0,0,5,0
12,我是买手Tina,江苏无锡,female,Lv.14,858,883,294,2018-12-14 23:14:00,2019-03-20 01:55:38,feed,【我是买手】团购🛍今日团品分享👇1️⃣作为中华老字号、黑龙江省非物质文化遗产、中国欧式肉灌制品第一家的“哈肉联红肠”，在哈尔滨人及外地人眼中已经成为哈尔滨食品的代表，是酒宴、冷饮的上等佳肴，现在不用去哈尔滨也能享受到美味啦~2️⃣俄罗斯风味的糖果非常与众不同，非常扎实、纯粹，​展开全文c,4317268458321499.0,0,0,1
13,一只鹿香港代购海淘拼单,其他,female,Lv.9,116,476,2147,2018-12-14 18:24:00,2019-03-20 01:55:55,feed,明日去香港💰180，Curel珂润保湿滋养面霜40g日本cosme大赏面霜第一位👑这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。性敏感​展开全文c,4317195410015376.0,0,0,0
14,鱼妙婷正品香港代购,广东深圳,female,Lv.46,3689,7738,34140,2018-12-14 17:02:00,2019-03-20 01:55:57,feed,#妙婷今晚回家发货#Curel珂润保湿滋养面霜40g🌺日本cosme大赏面霜第一位👑这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。性敏​展开全文c,4317174824878227.0,0,0,0
15,天使百宝,香港中西区,female,Lv.46,235,5941,36461,2018-12-14 13:00:00,2019-03-20 01:56:17,feed,日本Curel珂润温和保湿洗发水护发素420ml无硅油敏感头皮也可用O网页链接百宝自己已经用珂润洗发水/护发素一个多月了～头皮变得越来越健康，不掉屑屑~头发越来越顺滑～必须向敏感头皮们大力推荐的一套洗护，百宝是敏感+干燥头皮，会发痒而且有头皮，用了一个多月，头皮变得越来越健康，​展开全文c,4317113847512256.0,0,0,0
16,喵喵酱在日本,海外日本,female,Lv.40,368,4273,11640,2018-12-14 10:49:00,2019-03-20 01:56:34,feed,现货💰188➕国内邮费花王Curel珂润面霜‼️日本连续3年cosme大赏面霜第一位👑第二位是Pola面霜2016年被评为殿堂级产品！重要是完全不贵cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的​展开全文c,4317080914788808.0,0,0,0
17,桃子老师的护肤彩妆店,海外法国,female,Lv.48,704,9377,13982,2018-12-14 02:51:00,2019-03-20 01:58:31,feed,⚠️日本珂润乳液很温和的基础乳液💧轻薄，没有味道，延展性很好❄️冬天用吸收好快❌不会留一层黏黏的，一涂就感觉很舒服👏🏻有用雪花膏的感觉👉🏻含有滋润成分和消炎成分，使用以后也挺温和滋润，保湿也好，敏感肌非常适用哦💫139元💰【现货日本珂润CUREL润浸保湿柔和乳液120ml​展开全文c,4316960588254999.0,0,0,0
18,丽港彩妆,广东广州,female,Lv.14,937,33003,1534,2018-12-13 19:56:00,2019-03-20 01:58:52,feed,花王curel珂润保湿系列敏感肌肤可用保湿泡沫洗面奶弱酸性无香料无着色敏感肌可用！超丰富细腻的泡沫，绝对是值得拥有的一款洁面产品。泡沫很绵密，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。感觉每个毛孔都被洗的干干净​展开全文c,4316856262929375.0,0,0,0
19,国内外品牌护肤品化妆品,浙江,female,Lv.9,977,229,2303,2018-12-13 17:29:00,2019-03-20 01:59:10,feed,秒杀价💰149，名额2个日本本土版超人气curel珂润温和活性水素去角质凝胶250ml💜日本人气去角质，敏感肌可用☘️，如水般质地，纯天然温和❄️，不伤肌肤。成分的91%都是天然水🔆，防酸、防老化，💆🏻去角质同时更护肤。㊙️三不含产品：无香料、无着色、无防腐剂超级温和，可以全身使用?​展开全文c,4316819168248034.0,0,0,0
20,YIIMIKOO,陕西西安,female,Lv.4,73,1930,1060,2018-12-13 16:26:00,2019-03-20 01:59:28,feed,奕咪蔻～现货40g‼️日本Curel珂潤保濕滋養面霜🍒日本cosme大賞面霜第一位👑這款乳霜是花王珂潤系列中cosme評分最高的一款產品，成分在日系面霜中算最簡潔的，對修復皮脂膜有非常好的功效。本身這個系列就是針對敏感乾燥肌膚所研發，肌膚乾燥脆弱、皮薄有紅血絲的人群一定要試試這款乳霜產品。性​展开全文c,4316803281120181.0,0,0,0
21,YIIMIKOO,陕西西安,female,Lv.4,73,1930,1060,2018-12-13 16:24:00,2019-03-20 01:59:49,feed,奕咪蔻～现货1号清爽型💧2号微润💧3号Curel珂润化妆水爽肤水/150ml‼️‼️CUREL珂润是日本花王旗下专为敏感肌设计的品牌💁🏼‍♀️💁🏼‍♀️花王公司独有的Ceramido(神经酰胺)它是干燥性敏感皮肤缺少的必需成分❗️❗️能渗入到肌肤深层，抵御外部刺激，将水润填满角质细胞间的空隙?​展开全文c,4316802987241465.0,0,0,0
22,MUJI-日亚-拼单日淘小小代购,其他,female,Lv.47,1108,16249,11085,2018-12-13 15:26:00,2019-03-20 02:00:09,feed,#日亚拼单#curel珂润保湿美容液40g■喜欢用珂润的小仙女们听没听说过这款美容液？化妆水之后使用，质地非常水润，挤出来是着喱状，轻轻一抹就化成水状了，保湿效果很好■特别添加了生姜提取物，甘油保湿剂，增加皮肤的组合张力。更可以舒缓细纹，给眼睛，嘴巴，整个面部充足的水分和持久的滋润度■​展开全文c,4316788281575778.0,0,0,1
23,黑家港货店,广东,female,Lv.28,629,583,107,2018-12-12 22:22:00,2019-03-20 02:00:21,feed,日本🇯🇵Curel珂润润浸保湿滋养面霜40g，干燥性敏感肌专用👑日本cosme大賞面霜第一位👑这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试​展开全文c,4316530457855952.0,0,1,0
24,种草囤货小菌,辽宁,female,Lv.6,37,18,28,2018-12-12 18:33:00,2019-03-20 02:00:27,feed,👄小菌菌自用款哦👄日本花王Curel/珂润面霜润浸保湿滋养乳霜补水保湿滋润40g不油【在售价】：125.00【券后价】：110.0【优惠券】：15日本cosme大赏面霜第一位🏆这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系​展开全文c,4316472945836777.0,0,1,0
25,兜兜家的欧尼,海外,female,Lv.9,148,27337,2152,2018-12-12 17:36:00,2019-03-20 02:00:34,feed,彩妆兜兜🇯🇵购～日本Curel珂润面霜40mlcosme综合面霜类大赏第一！保湿又滋润，绝对不油腻，不糊脸，感觉水乳精华都被它封锁在肌肤里啦[得意]。一年四季都好用的单品。干燥换季天气简直就靠它救命啦～最近过敏的妹子特别多，绝对推荐这款～天气回暖就可以不用面霜，这绝对是误区！​展开全文c,4316458551466928.0,0,0,0
26,威廉季_,广东广州,male,Lv.19,223,326,266,2018-12-12 17:04:00,2019-03-20 02:00:51,feed,#花点钱怎么了#双12全场打折扣+包邮🤠Curel珂润乳液敏感肌其实是因为缺少神经酰胺，角质层功能不足，皮肤才容易受外界侵害的，Curel特殊成分，可以深入到肌肤深层，带给你由内而外的滋润。温和不刺激，敏感肌孕妇宝宝都可以放心用~泵头按两下全脸就够用，保湿力绝对赞，滋润不粘腻，水乳搭配效​展开全文c,4316450522662743.0,0,0,0
27,喵喵酱在日本,海外日本,female,Lv.40,368,4273,11640,2018-12-12 14:14:00,2019-03-20 02:00:53,feed,珂润水乳1清爽，2滋润，3号超滋润+面霜+洁面！强烈推荐！🇯🇵花王珂润，其实珂润的产品非常好用，且平价‼️专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样💧抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本​展开全文c,4316407649336815.0,0,0,0
28,枫_xu,江苏苏州,female,Lv.11,142,336,1223,2018-12-12 09:34:00,2019-03-20 02:01:01,feed,后津率享水乳单品水💰299乳液💰315雪花秀人参水乳单品员工白盒版到一对💰600珂润水乳一对💰268珂润化妆水➕乳液滋润型！墙裂推荐，其实珂润的产品非常好用，专门针对敏感肌，干燥肌，用过的都说好！化妆水之后，觉得面霜厚重的可以试试这款乳液，质地偏薄，用完皮肤像喝​展开全文c,4316337205800098.0,0,0,0
29,啊雨好物分享,其他,female,Lv.4,33,76,198,2018-12-12 09:32:00,2019-03-20 02:01:06,feed,强烈推荐的面霜！各大网红推荐安利到处断货限购号称平价版香奈儿。日本本土花王珂润Curel高保湿面霜，cosme大赏面霜排名第一，为敏感干燥肌而生的品牌。一个不会出错的面霜，弱酸性配方，日本皮肤科医生推荐的面霜，尤其适合干燥敏感皮肤，红血丝。干燥敏感皮肤，超补水一罐40g👍👍👍​展开全文c,4316336912011210.0,0,0,0
30,大饼香港代购,香港其他,female,Lv.14,151,11281,102,2018-12-12 03:33:00,2019-03-20 02:01:09,feed,港代🇭🇰💰78🇯🇵花王curel珂润保湿泡沫洗面奶150ml推荐给敏感肌们～弱酸性☀️无香料无着色💦超丰富细腻的泡沫🌸绝对是值得拥有的一款洁面产品。泡沫很绵密，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。非常适合​展开全文c,4316246415865831.0,0,0,1
31,山本未奈子,海外日本,female,Lv.9,26,13500,544,2018-12-11 21:43:00,2019-03-20 02:01:11,feed,我所考虑的保湿，是“防守型护肤”。肌肤不稳定或是感到状态不好的时候，不要犹豫首先彻底做好保湿护理吧。保湿可以提升肌肤屏障机能，提高肌肤状态。肌肤状态好的时候，才是进行毛孔角质护理，抗老化护理“进攻型护肤”的机会。・Curel逆龄系列，通过2步彻底保湿，在进行提升肌肤屏障机能“防守​展开全文c,4316158347223691.0,0,0,1
32,娟儿-澳门代购,广东深圳,female,Lv.9,41,151,1283,2018-12-11 19:14:00,2019-03-20 02:01:13,feed,天使今日特价🚨💰1⃣3⃣0⃣👼▪️日本Curel/珂润保湿面霜40g🍀低刺激性保濕面霜。🌸滋潤成分滲透角質深層，有助肌膚自身的神經酰胺抵御外來刺激的能力，保持肌膚潤澤💦另外，從植物中提取的美白有效成分😁（ChamomillaET母菊萃取物)，能夠抑制黑色素生成防止色斑雀斑，令肌膚煥發​展开全文c,4316120968567929.0,0,0,0
33,客家人-澳门代购,澳门其他,female,Lv.14,39,219,2357,2018-12-11 19:13:00,2019-03-20 02:01:16,feed,天使今日特价🚨💰1⃣3⃣0⃣👼▪️日本Curel/珂润保湿面霜40g🍀低刺激性保濕面霜。🌸滋潤成分滲透角質深層，有助肌膚自身的神經酰胺抵御外來刺激的能力，保持肌膚潤澤💦另外，從植物中提取的美白有效成分😁（ChamomillaET母菊萃取物)，能夠抑制黑色素生成防止色斑雀斑，令肌膚煥發​展开全文c,4316120514739850.0,0,0,0
34,嚣萌萌,北京,female,Lv.39,484,374638,4316,2018-12-11 13:44:00,2019-03-20 02:01:18,feed,转眼又到双十二，🐨给你送浮力，满减红包领起来鸭~~~话不多说，小北亲情推荐这款洗面产品——日本Curel珂润氨基酸泡沫敏感肌洁面乳（名字还蛮拗口的）铲屎官自己也是这次双十一拼单购买的，没想到是个“三无“产品！！！无酒精，无香精，无色素添加。很优秀对不对~~~这款洁面乳​展开全文c,4316037811907633.0,1,9,23
35,日本代购药妆奥尔滨pola美白丸,海外美国,female,Lv.37,535,632685,25650,2018-12-11 11:23:00,2019-03-20 02:02:09,feed,Minon氨基酸水150ml➕乳液100mlminon的水还有分I清爽型II滋润型水乳一套主要成分是氨基酸，MINON不含酒精！有一点点类似酵母的味道~妥妥的治疗敏感肌皮肤，但是普通肌肤一样好用！孕妇可用！保湿效果好，能感觉到那种直接深入肌肤底层的润，吸收很快，没有浮在肌肤表层的感觉，同系​展开全文c,4316002428252967.0,0,0,0
36,-_君宝宝_-,海外韩国,female,Lv.14,0,685,79,2018-12-11 09:34:00,2019-03-20 02:02:11,feed,💦珂润干燥敏感肌水乳💦珂润水乳！强烈推荐！其实珂润的产品非常好用，且平价‼️专门针对敏感肌，干燥肌。质地偏薄，用完皮肤像喝饱了水一样💧抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，95%亚洲女性使用​展开全文c,4315974905555721.0,0,1,0
37,思想没焦,广东深圳,female,Lv.14,94,3715,139,2018-12-11 04:26:00,2019-03-20 02:02:13,feed,💰60CUREL珂润润唇膏给你一整天的滋润、珂润浸润保湿唇膏！无添加无刺激，孕妇和敏感肌肤都可使用！针对角质层较薄的唇部，添加了滋润成分——润浸保湿神经酰胺功能成分和由植物提取的保持滋润成分，能有效渗透至唇部角质层，提高双唇的水润密度。防止嘴唇粗糙、干裂。针对干燥敏感的双唇，能温和地​展开全文c,4315897335964779.0,0,0,0
38,奶茶和咖啡是闺蜜,山东,female,Lv.9,131,64,210,2018-12-10 21:20:00,2019-03-20 02:02:29,feed,现货¥168这个是自己去日本采购的，本想囤着用，奈何买了急救面霜了[胜利][胜利][胜利]不囤那么多啦curel珂润保湿面霜40g成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。干性肌肤一年​展开全文c,4315790167973912.0,0,0,0
39,火华火昱,其他,female,Lv.4,33,82,416,2018-12-10 19:51:00,2019-03-20 02:02:31,feed,💰85！日本本土版🇯🇵花王curel珂润保湿泡沫洗面奶150ml推荐给敏感肌们～弱酸性，无香料无着色！超丰富细腻的泡沫，绝对是值得拥有的一款洁面产品。泡沫很绵密，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。非常适合干皮，敏感​展开全文c,4315767916632579.0,0,0,0
40,国内外品牌护肤品化妆品,浙江,female,Lv.9,977,229,2303,2018-12-10 19:00:00,2019-03-20 02:02:34,feed,秒杀价💰88，名额2个花王curel珂润保湿泡沫洗面奶💕推荐给敏感肌们～弱酸性☀️无香料无着色💦超丰富细腻的泡沫🌸绝对是值得拥有的一款洁面产品。泡沫很绵密，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。非常适合干皮，敏​展开全文c,4315755073333041.0,0,0,0
41,T杜杜潮鞋区,河南新乡,female,Lv.14,220,94,209,2018-12-10 13:43:00,2019-03-20 02:02:37,feed,Curel珂润面霜，目前我最爱用的面霜，一个半月用完一瓶，太对我的皮肤了，奶油的质地我太爱了。为珂润打call😘这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的​展开全文c,4315675142672762.0,0,0,0
42,L767797,广东,female,Lv.9,5,37,316,2018-12-10 11:05:00,2019-03-20 02:02:40,feed,🌱🌱🌱一支好的洗面奶是一脸美肌的好基础，下面简单介绍8款不含酒精、不含香料、不含防腐剂、不含矿物油。注入与肌肤酸碱性相近的氨基酸成份洁面乳！温和洁净肌肤不紧绷。特别是中干性、混合性、敏感性肌肤的不二之选。图1:freeplus芙丽芳丝洗面奶图2:sukin/苏芊天​展开全文c,4315635368006190.0,0,0,0
43,天使百宝,香港中西区,female,Lv.46,235,5941,36461,2018-12-10 10:08:00,2019-03-20 02:02:42,feed,日本大赏推荐curel珂润润浸保湿滋养乳霜40g修复干敏肌肤O网页链接💕2014年，2015年综合面霜类的cosme大赏第yi！要知道每年cosme多少面霜参选啊，这枚这么便宜的面霜能拿到第一，很能说明问题！有效成分是神经酰胺和桉树精华，一看这两点，成分控就知道这货主打防敏感和保湿而且超级无敌​展开全文c,4315621170218549.0,0,0,0
44,天使百宝,香港中西区,female,Lv.46,235,5941,36461,2018-12-10 10:07:00,2019-03-20 02:02:44,feed,日本进口Curel珂润润浸保湿卸卸啫喱130g温和不刺激O网页链接💕·守护肌肤原有滋润成分神经酰胺（Ceramide）的同时，充分卸除防晒，隔离等。·柔软啫喱状，无需用力揉搓即可轻松涂抹开。·无粘腻触感和彩妆残留，可充分洗净。·含消炎成分，有效防止肌肤粗糙。·弱酸性、无香料、无色素​展开全文c,4315620785316687.0,0,0,0
45,得得港货,香港,male,Lv.25,375,288,8460,2018-12-10 01:42:00,2019-03-20 02:02:50,feed,日本Curel珂润润浸保湿滋养乳霜40g，💰272/件🉐蕴含「润浸保湿Ceramide功能成分」及桉树精华，能深入渗透至肌肤角质层，让肌肤回复高密度滋润状态，感觉柔滑富弹性，同时有效抗御外来刺激。有效预防干燥问题恶化，提升肌肤自我防御能力，纾缓因肌肤干燥引起的不适。深层高效保湿配方，用后依然感​展开全文c,4315493630913430.0,0,0,0
46,是屯爹也是仙女豚,北京海淀区,female,Lv.4,66,12,23,2018-12-09 22:09:00,2019-03-20 02:02:52,feed,#🐬的美妆博主之路#空瓶记近期空瓶与开新洁面卸妆类:晚洁空了一个资生堂悦薇洁面小样，我觉得洁面是悦薇系列最好用的产品🙃，风最大的水乳我脚的不是很滋润。晨洁空了一个老旁友freeplus，我觉得我会一辈子回购的晨洁🙊。眼唇卸空了一个美宝莲眼唇卸小样，好用，我觉得和曼丹眼​展开全文c,4315440132033821.0,0,1,0
47,初初时尚全球购,河北唐山,female,Lv.9,361,332,4999,2018-12-09 18:49:00,2019-03-20 02:02:58,feed,现货！curel去角质啫喱，角质不去，再好的贵妇面霜，都难吸收。Cosme大赏推荐的，日本药妆店销售达到“疯抢”级别！Cure是日本药妆，所含成分的都是天然活性化水素，不含防腐剂和香料，简直是太懂敏感肌。用的时候真的能搓出很多白屑屑，用完皮肤很滑很嫩✌️这款国内屈臣氏卖300多，我在日本买的，​展开全文c,4315389771509017.0,0,0,1
48,星星在香港,广东深圳,female,Lv.41,234,1324,8249,2018-12-09 18:20:00,2019-03-20 02:03:02,feed,特价💰135元包邮。Curel珂润保湿滋养面霜40g日本cosme大赏面霜第一位。这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。性敏感肌专​展开全文c,4315382456079717.0,0,0,0
49,坤坤与雪琳是好朋友,其他,female,Lv.9,22,32,193,2018-12-09 17:02:00,2019-03-20 02:03:07,feed,雪琳空瓶分享1.laprairie莱珀妮晚霜小样好几个小样，用光俩只，会搓泥，搓下来感觉钱都没了，味道好闻，使用感受可以，效果滋润？嫩肤？不搓泥会回购，但有时候它搓泥啊2.maxfactorx偶尔化妆，说不上好不好就那样3.benefit贝玲妃眉笔，眉胶？，渐变眉粉，就那样4.urbandecay眼部打底，会回购​展开全文c,4315362784824347.0,0,0,0
50,放心我不是正经代购,海外,female,Lv.8,218,2129,122,2018-12-09 16:19:00,2019-03-20 02:03:11,feed,💰148（预订款）不知道卖了多少瓶了性价比强销量王花王curel珂润保湿补水面霜，是一款为干燥性敏感肌肤考虑的低刺激性保湿面霜。有助肌肤自身的神经酰胺抵御外来刺激的能力，保持肌肤润泽。另外，从植物中提取的美白有效成分（ChamomillaET母菊萃取物）能够抑制黑色素生成防止色斑雀斑，令肌肤​展开全文c,4315352005371724.0,0,0,0
51,小小卖家201705,江苏,female,Lv.2,64,7,61,2018-12-09 14:21:00,2019-03-20 02:03:15,feed,158包邮用了你会感动到流泪的面霜！日本Curel珂润润浸保湿滋养面霜40g干燥性敏感肌日本cosme大賞面霜第一位这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人​展开全文c,4315322364936998.0,0,0,0
52,牛奶小草莓er_,江西南昌,female,Lv.39,704,616,574,2018-12-08 21:47:00,2019-03-20 02:03:21,feed,说一说孕期爱用物吧！本人冬混干，夏混油。#fresh玫瑰水#在上海确认怀孕后就立马冲进商场找fresh专柜买买买。这个玫瑰水补水效果很好，但是一点也不粘腻。质地就是水感的，拍完之后水水嫩嫩特别舒服！就像肌肤喝饱了水的感觉😉#欧莱雅青春密码肌底液#就是大家口中的欧莱雅小黑瓶屯了N瓶！确实​展开全文c,4315072106792209.0,0,0,1
53,福森制图非种菜,海外日本,female,Lv.14,852,200,724,2018-12-08 21:30:00,2019-03-20 02:03:24,feed,#宝宝的小情绪#珂润面霜为敏感肌红血丝干燥肌而生啊[呲牙]它拿下17年cosme面霜类第一（高端部门）第一名珂润，第二名polaapex，第三名lamer。curel日本本土珂润面霜，珂润面霜高保湿面霜花王旗下的珂润，为敏感干燥肌而生的品牌。弱酸性配方，日本皮肤科医生推荐，尤其适合干燥敏感皮肤。奶油质​展开全文c,4315067828636705.0,0,0,0
