Index,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
539,格子在香港,香港沙田区,female,Lv.48,1419,6659,829,2018-12-21 17:00:00,2019-03-20 03:15:35,feed,万宁喜宝3段奶粉curel面霜溶豆泡芙饼干木瓜膏马油婴幼儿护理等等2香港特区·新城市廣場(沙田正街),4319703969683382.0,0,0,0
540,Krystal护肤小宝,广东深圳,female,Lv.9,60,16202,483,2018-12-21 16:32:00,2019-03-20 03:15:36,feed,日本进口花王Curel/珂润面霜保湿乳霜这款最近风太大了，吹的比千元面霜风还大。试用了虽然不油腻但是保湿效果可以，适合皮肤没有什么问题的人用。只是和千元面霜真是没得比哈。​,4319702790562932.0,0,0,0
541,vicky香港美妆店,no location,female,Lv.48,492,52369,19906,2018-12-21 16:27:00,2019-03-20 03:15:39,feed,雅诗兰黛水光肌微精华面膜5片228后拱辰享水乳面霜套装800拆盒代curel保湿面霜140一个，coach手表，curel面霜，资生堂润唇，久光贴，娇韵诗口红737色号210一支，柜姐说孕妇可用2香港,4319695551841174.0,0,4,0
542,格子在香港,香港沙田区,female,Lv.48,1419,6659,829,2018-12-21 15:58:00,2019-03-20 03:15:41,feed,万宁curel珂润保湿面霜小支除疤克2香港特区·新城市廣場(沙田正街),4319675276474676.0,0,0,1
543,泰美人lovely,其他,female,Lv.4,44,230,3441,2018-12-21 14:38:00,2019-03-20 03:15:45,feed,代购Curel珂润面霜🔻是那种平价但是贵妇都夸好的面霜，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，便宜又好用的面霜，保湿性超好。​,4319657777919659.0,0,0,0
544,一点点油盐酱醋,其他,male,Lv.4,91,19,20,2018-12-21 13:28:00,2019-03-20 03:15:48,feed,Curel珂润润浸保湿滋养乳霜40gCUREL是日本花王旗下专为干敏感肌设计的品牌设计风格简约成分简单价格良心这款珂润面霜真的是干燥敏感肌的福音啊可以让人安心的使用珂润面霜中含有尿囊素尿囊素具有促进细胞生长加快伤口愈合软化角质蛋白等生理功能是皮肤创伤的良好愈合剂和消炎剂可用作缓解​展开全文c,4319625396802961.0,0,0,0
545,SUNSHINE_阳光小店,广东汕头,female,Lv.48,407,10255,23467,2018-12-21 11:20:00,2019-03-20 03:15:51,feed,日本Curel珂润保湿面霜干燥肌敏感肌红血丝救星，Curel珂润面霜一款无限回购的好面霜，干燥性敏感肌专用💛使用感来讲，特别特别的润，而且奶油质地，炒鸡舒服，超好推开，反正就是特别棒，对于敏感肌肤更是亲和，🍂乾燥天气简直就靠它救命，绝对值得推荐～！​,4319618292022038.0,2,0,0
546,日本代购贸易公司Boss金英海,海外,male,Lv.41,209,365752,24290,2018-12-21 10:51:00,2019-03-20 03:15:53,feed,78🇨🇳现货、珂润全系列面霜、水一共有三款150ml，Ⅰ号清爽、Ⅱ号滋润、Ⅲ号超滋润，乳液就一款120ml珂润是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，能从根本改善干燥性敏感肌肤，95%亚洲女性使用后得到明显改善。,4319607717909653.0,0,0,0
547,日本代购海哥哥药妆正品人肉,海外日本,female,Lv.4,12,1202,6520,2018-12-21 10:09:00,2019-03-20 03:15:56,feed,78🇨🇳现货、珂润全系列面霜、水一共有三款150ml，Ⅰ号清爽、Ⅱ号滋润、Ⅲ号超滋润，乳液就一款120ml珂润是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，能从根本改善干燥性敏感肌肤，95%亚洲女性使用后得到明显改善。,4319607714438943.0,0,0,0
548,海哥哥药妆资生堂日本代购,海外,male,Lv.39,208,53395,13746,2018-12-21 10:09:00,2019-03-20 03:15:59,feed,78🇨🇳现货、珂润全系列面霜、水一共有三款150ml，Ⅰ号清爽、Ⅱ号滋润、Ⅲ号超滋润，乳液就一款120ml珂润是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，能从根本改善干燥性敏感肌肤，95%亚洲女性使用后得到明显改善。,4319607713714782.0,0,0,0
549,名妆苏秘,no location,male,Lv.35,490,754,1262,2018-12-21 10:09:00,2019-03-20 03:16:07,feed,#Chihiro面霜分享#日本Curel珂润保湿滋养面霜干燥性敏感肌专用日本cosme大赏面霜第一位这款乳霜是花王珂润系列中cosme评分最高的一款产品成分在日系面霜中算最简洁的对修复皮脂膜有非常好的功效本身这个系列就是针对敏感干燥肌肤所研发肌肤干燥脆弱皮薄有红血丝的人群一定要试试这款乳霜产品​,4319607118653956.0,0,0,0
550,海外代购时尚小屋,其他,female,Lv.10,233,211,6661,2018-12-21 10:07:00,2019-03-20 03:16:10,feed,日本Curel珂润面霜润浸保湿滋养乳霜40g冬季干燥敏感肌补水可用，日本Curel珂润面霜润浸保湿滋养乳霜40g冬季干燥敏感肌补水可用O网页链接,4319605885214610.0,0,0,0
551,乐糖豆儿,贵州,female,Lv.4,84,216,2719,2018-12-21 10:02:00,2019-03-20 03:16:13,feed,🇯🇵大阪采购中🎏💰170/瓶日本花王Curel珂润面霜‼️日本连续3年cosme大赏面霜第一位👑cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品,4319596401541769.0,0,0,0
552,Fiona小虞,上海虹口区,female,Lv.27,358,169,1849,2018-12-21 09:24:00,2019-03-20 03:16:15,feed,#FV's2018手帐#天呢，最后一次空瓶竟然是这么早以前的了。2018即将过去，不能把存货留到2019，该做的都要抓紧做。12月的空瓶记，也是2018最后一次：Curel、ANR、HR,4319595068089103.0,0,0,0
553,思念一個人ww,河南,female,Lv.29,588,235,1284,2018-12-21 09:19:00,2019-03-20 03:16:16,feed,日本好用の面霜推荐Curel珂润平价但是贵妇都夸好的面霜，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，适合换季，便宜又好用的面霜，保湿性超好2平顶山·新华区,4319591804491361.0,0,0,0
554,HEYHEYdeer,其他,female,Lv.27,672,6941,389,2018-12-21 09:06:00,2019-03-20 03:16:22,feed,你正确卸妆了吗？我发现有很多妹纸好像还不太清楚不同卸妆产品的正确用法，错误的用法对清洁功效会产生很大影响的啊，给大家说一下不同卸妆产品的具体使用方法（图文相同，不想翻微博的妹纸可以直接看图[嘿哈]）。✨✨⚪️卸妆水类产品水类卸妆产品一般需要搭配化妆棉使用。1️⃣：先用卸妆水侵湿​展开全文c,4319475895045051.0,1,2,0
555,婷婷母婴代购-HK,广东深圳,female,Lv.43,2021,50067,6323,2018-12-21 01:26:00,2019-03-20 03:17:33,feed,💰185日本Curel珂润保湿滋养面霜40g🍒日本cosme大赏面霜第一位👑这款乳霜是花王珂润系列中cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。性敏感肌专​展开全文c,4319430450085265.0,0,0,0
556,王豆95699,其他,male,Lv.9,124,13,20,2018-12-20 22:25:00,2019-03-20 03:17:35,feed,Curel晒单，好品位晒出来。#HIGO最美晒单#@HIGO官方微博O网页链接​,4319427027593660.0,0,0,0
