,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,不想被蚊子咬呀,其他,female,Lv.4,16,2,8,2019-02-28 22:22:00,2019-03-20 07:15:38,feed,【只差1人】成功即省68元！我120元抢到了珂润(Curel)润浸保湿面霜40gO网页链接珂润,4344796946573464,0,0,0
1,别G说L笑,陕西汉中,female,Lv.9,86,77,42,2019-02-28 22:22:00,2019-03-20 07:15:41,feed,2汉中，curel珂润水乳，性价比之王。强烈推荐，其实珂润的产品非常好用，且平价，专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样，抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品​展开全文c,4344796720532734,0,0,0
2,黎泓照,台湾,male,Lv.4,6,4,29,2019-02-28 22:13:00,2019-03-20 07:15:43,feed,20190228阴晚：LRP蓝喷LRPk乳LRPduo乳100%pure咖啡豆眼霜curel面霜能有的皮肤问题全有并且都很严重,4344794623486534,0,0,0
3,番哈哈,广东,female,Lv.35,406,10972,2066,2019-02-28 22:11:00,2019-03-20 07:15:48,feed,今天有再到货，自用推荐款，我早上起床都是洗这个，泡沫很细腻绵密哦！💰88，花王curel珂润保湿泡沫洗面奶150ml，推荐给敏感肌们！弱酸性，无香料无着色！超丰富细腻的泡沫，绝对是值得拥有的一款洁面产品。用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起​展开全文c,4344793951676916,0,0,0
4,番哈哈,广东,female,Lv.35,406,10972,2066,2019-02-28 22:10:00,2019-03-20 07:15:50,feed,到货，curel珂润水乳，珂润的产品非常好用，水150ml💰118，乳液120ml💰138，专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样，抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，95%亚洲女​展开全文c,4344793909933002,0,0,0
5,charllotsmile,江西,female,Lv.4,400,99,378,2019-02-28 16:47:00,2019-03-20 07:15:54,feed,@搞车大魔王@DD翻译官2016@Curel珂润,4344778701452266,0,0,0
6,菲菲脾气很大,海外其他,female,Lv.20,243,264,3991,2019-02-28 20:24:00,2019-03-20 07:15:58,feed,🔺珂润泡沫洁面💵128curel珂润保湿泡沫洗面奶150ml。👇最近皮肤敏感，且了解说我的肌肤适合用氨基酸的面膜，就试了这款！简直大爱，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。最喜欢的是直接按出来就是丰富的泡沫，省去打泡的环节，味道很香...,4344767124956526,0,0,0
7,菲菲脾气很大,海外其他,female,Lv.20,243,264,3991,2019-02-28 20:23:00,2019-03-20 07:16:00,feed,🔺珂润唇膏💵85Curel珂润浸润保湿滋润润唇膏粉色：针对角质层较薄的唇部，添加了滋润成分—润浸保湿神经酰胺功能成分和由植物提取的保持滋润成分，能有效渗透至唇部角质层，提高双唇的水润密度，防止嘴唇粗糙、干裂。,4344766873763182,0,0,0
8,菲菲脾气很大,海外其他,female,Lv.20,243,264,3991,2019-02-28 20:21:00,2019-03-20 07:16:18,feed,🔺珂润抗痘洁面泡沫💵128Curel珂润控油保湿抗痘泡沫洁面乳：这款珂润控油祛痘系列的，它家的洗面奶是洁面泡沫，泡沫非常绵密细腻，摁一下就可以洗全脸了，洗完脸皮肤感觉不紧绷，蛮温和的，不刺激！,4344766370556526,0,0,0
9,日本海淘帮,北京东城区,female,Lv.48,239,189877,88012,2019-02-28 20:20:00,2019-03-20 07:16:21,feed,#亚马逊海外购#日亚直邮【Curel珂润抗老滋润保湿乳霜面霜40g】￥173.2，中亚Prime会员海外购订单满200元免直邮运费，凑满免邮后含税到手193元。O网页链接与大受好评的蓝色版面霜一样主打神经酰胺成分，主打抗老，配合有消炎成分，防止肌肤干燥粗糙。​O亚马逊海外购·全球必淘好货清单,4344766193536775,0,0,1
