,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,绿野之光,香港其他,female,Lv.4,39,27,29,2019-02-15 22:56:00,2019-03-20 11:18:11,feed,美妆博主怪不得珂润面霜最近这么火！它拿下17年cosme面霜类第一（高端部门）第一名珂润，第二名polaapex，第三名lamer。❤️curel日本本土珂润面霜，珂润面霜高保湿面霜为敏感干燥肌而生的品牌。弱酸性配方，日本皮肤科医生推荐，尤其适合干燥敏感皮肤。奶油质地，清爽不油腻～​,4340094267768812,0,0,0
1,美妆化妆品护肤品口红,浙江宁波,female,Lv.37,573,632,555,2019-02-15 22:38:00,2019-03-20 11:18:20,feed,🌟：Curel珂润去角质它是啫喱质地的，清凉清凉的！洁脸后，将皮肤水分吸干，取适量啫喱涂开全脸并轻轻揉动，你会感觉到老废角质都变成白色的颗粒，30秒之后用清水洗净，不会伤害皮肤。之后进行正常的皮肤护理，吸收效果极好，很温和，很好用​,4340089872338472,0,0,0
2,美妆化妆品护肤品口红,浙江宁波,female,Lv.37,573,632,555,2019-02-15 22:30:00,2019-03-20 11:18:24,feed,Curel珂润保湿面霜cosme大赏第一！质地就是传统的面霜质地，丝质柔滑白色奶油，推开，揉进肌肤瞬间的事情，一年四季都好用，完全不油腻，保湿又滋润，绝对值得推荐！孕妇、敏感肌都可以用～​,4340087845581804,0,0,0
3,宣武第一怂蛋包,海外,male,Lv.4,31,14,129,2016-04-22 21:16:00,2019-03-20 11:18:47,feed,干皮KOSE雪肌精美白防晒啫喱80ml（2015），Curel浸润倍护保湿防晒60ml，资生堂安耐晒金瓶防晒60ml（2015），资生堂怡丽丝尔elixir日中防晒乳液35ml（2015），KOSEsuncutprotectgel80ml，欧珀莱烈日防晒隔离液60ml，苏菲娜sofina透美颜日间防护乳液30ml,4340086021811114,0,0,0
4,ZHong静M,山东济南,female,Lv.14,349,133,669,2019-02-15 20:42:00,2019-03-20 11:19:09,feed,珂润水乳！强烈推荐！🇯🇵花王柯润，其实珂润的产品非常好用，且平价‼️专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样💧抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，95%亚洲女性​展开全文c,4340060637479365,0,0,0
5,海岸信箱,山西,female,Lv.39,2152,2173,79362,2019-02-15 18:15:00,2019-03-20 11:19:19,feed,#珂润淡纹紧致滋养乳霜#神经酰胺护理保持肌肤水润充足，改善干燥细纹，令肌肤变得滋润有弹性。冰淇淋乳霜质地，好用不粘腻，可以淡化时间的痕迹。@Curel珂润,4340053712885078,0,0,0
6,爽朗的豪雨微风,海外日本,male,Lv.8,278,120,167,2019-02-15 20:05:00,2019-03-20 11:20:22,feed,发表了博文《珂润洁面泡沫》Curel是日本花王旗下专为敏感肌设计的品牌。Curel创始于1999年。专门针对干燥性敏感肌肤的Curel品牌的诞生，与花王持之以恒的皮肤科学研究十分不开的。花王是最早着眼O珂润洁面泡沫​,4340051209505159,0,0,0
7,香港代购YSL口红试色防晒霜推荐,吉林通化,female,Lv.30,504,574579,7954,2019-02-15 19:58:00,2019-03-20 11:20:27,feed,💰220一套珂润水乳！强烈推荐！🇯🇵花王柯润，其实珂润的产品非常好用，且平价‼️专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样💧抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌​展开全文c,4340049552128390,0,0,0
8,糯米酱日澳生活馆,浙江宁波,male,Lv.47,1645,10787,16304,2019-02-15 19:26:00,2019-03-20 11:20:29,feed,现货#curel珂润水乳，性价比之王。强烈推荐，其实珂润的产品非常好用，且平价专门针对敏感肌，干燥肌，孕妇，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，95%亚洲​展开全文c,4340041398117447,0,0,0
9,Curel珂润,no location,female,Lv.41,146,44574,6401,2019-02-15 18:15:00,2019-03-20 11:20:32,feed,承载着满满的期待，珂润新品淡纹紧致系列已于日前正式上架啦！轻熟肌定制弹润护理，到底藏着哪些护肤秘密？快来点击Curel/珂润淡纹紧致化妆水滋养乳霜凝霜保湿洁颜日本花王进口加深对产品的认识和了解吧！即日起至2月19日，关注珂润官方微博@Curel珂润，转发此条微博并说说你对淡纹紧致系列的印象或评价，即有机会获得珂润好礼~活动时间：​展开全文c,4340023522925968,93,108, 34
