,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
14,日本代购药妆奥尔滨pola美白丸,海外美国,female,Lv.37,535,633282,25650,2019-01-15 11:03:00,2019-03-20 08:26:38,feed,珂润洗面奶花王curel珂润保湿泡沫洗面奶弱酸性无香料无着色敏感肌可用！超丰富细腻的泡沫，绝对是值得拥有的一款洁面产品。泡沫很绵密，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。感觉每个毛孔都被洗的干干净净的~​,4328680857660429,0,0,0
15,日本代购药妆奥尔滨pola美白丸,海外美国,female,Lv.37,535,633282,25650,2019-01-15 10:45:00,2019-03-20 08:27:01,feed,"💋珂润卸妆蜜！这款使日本花王KAO旗下专门为敏感性肌肤设计的品牌,质地是啫喱状的,弱酸性,无香料着色,不含酒精成分,已经过敏感肌肤测试.很多MM都不喜欢卸妆油,感觉涂在脸上总是油腻腻的,洗不干净还容易长痘痘.CUREL这款卸妆蜜质地清爽不刺激,不会给肌肤带来任何负担.​",4328676269095999,0,0,0
16,可可小妞0089,福建福州,female,Lv.36,60,9487,9568,2019-01-15 10:15:00,2019-03-20 08:27:22,feed,珂润洗面奶花王curel珂润保湿泡沫洗面奶弱酸性无香料无着色敏感肌可用！超丰富细腻的泡沫，绝对是值得拥有的一款洁面产品。泡沫很绵密，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。感觉每个毛孔都被洗的干干净净的~​,4328668866332204,0,0,0
17,可可小妞0089,福建福州,female,Lv.36,60,9487,9568,2019-01-15 10:13:00,2019-03-20 08:27:43,feed,"💋珂润卸妆蜜！这款使日本花王KAO旗下专门为敏感性肌肤设计的品牌,质地是啫喱状的,弱酸性,无香料着色,不含酒精成分,已经过敏感肌肤测试.很多MM都不喜欢卸妆油,感觉涂在脸上总是油腻腻的,洗不干净还容易长痘痘.CUREL这款卸妆蜜质地清爽不刺激,不会给肌肤带来任何负担.​",4328668363024335,0,0,0
18,可可小妞0089,福建福州,female,Lv.36,60,9487,9568,2019-01-15 10:12:00,2019-03-20 08:28:02,feed,冬季首推Curel珂润面霜。日本连续3年cosme大赏面霜第一位👑cosme评分最高的一款产品，成分在日系面霜中算最简洁的，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，肌肤干燥脆弱、皮薄有红血丝的人群一定要试试这款乳霜产品。,4328667943123288,0,0,0
19,爱购一姐,北京,female,Lv.9,75,170,29018,2019-01-15 08:58:00,2019-03-20 08:28:24,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发货​展开全文c,4328649413047500,0,0,0
20,优惠圈儿,北京,female,Lv.4,42,184,29326,2019-01-15 08:20:00,2019-03-20 08:29:55,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！券儿库~~~~~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：O网页链接整点抢：O网页链接人气榜：O网页链接官方QQ群：809358919保税仓发货​展开全文c,4328639790728890,0,0,0
21,静静_君優精品,广东,female,Lv.9,100,168,2041,2019-01-15 00:33:00,2019-03-20 08:30:24,feed,花王Curel珂润保湿面霜40g，干燥敏感肌肤适用。换季就需要这种基础温和保湿的护肤品。敏感肌常备这罐，能平复躁动不安的肌肤，改善各种肌肤问题！,4328522392687162,0,0,0
22,处婧,其他,female,Lv.36,525,21794,1337,2019-01-14 22:20:00,2019-03-20 08:30:42,feed,curel的这罐抗老面霜好像比常规版更Q弹，使用感真好啊～（蜜汁对焦）​​​,4328488796557629,3,23,44
23,S-harK,海外,female,Lv.38,344,639,3535,2019-01-14 22:13:00,2019-03-20 08:31:03,feed,✨海外代购✨日本Curel珂润润浸保湿洗面奶泡沫洁面乳干燥敏感肌可用150ml,4328487064005557,0,0,0
24,放荡不羁吃水果,上海普陀区,female,Lv.31,358,141,917,2019-01-14 22:08:00,2019-03-20 08:31:26,feed,#小白开开开#Curel珂润滋润面霜，又空瓶了。现在要开今第三罐咯～细细的滋润肌肤，润物细无声的修复痘肌刷酸的受损肌肤，正正好。混合肌用着正合适，明年冬天想来也还会是它陪伴着我。​,4328485734176137,0,1,1
