,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
54,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:嗯，不会囤太多的。主要是天气不好植物没啥好买的，人也年纪大了35是个分界岭，开始又关注自个儿脸了,4338835204995314,None,None,None
55,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,回复@min_violet:哈哈哈哈，其实还是要精简护肤哈哈,4338835204995314,None,None,None
56,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:嗯，不医美，买护肤品还是蛮好玩的，就跟植物一样，那么多品种,4338835204995314,None,None,None
57,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,回复@min_violet:哈哈心理作用还是有的～主要医美也是条不归路啊,4338835204995314,None,None,None
58,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:贵的眼霜我也沒用过。我觉得护肤品就那样，要奇效就得医美。我最近用个50几块的德国眼霜用着也蛮好。,4338835204995314,None,None,None
59,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,回复@min_violet:哈哈哈破就破啦没事的，因为我觉得用起来和资生堂的悦薇没啥区别,4338835204995314,None,None,None
60,min_violet,None,None,None,None,None,None,None,None,comment,回复@抓狂的兽嘶:就是铝管用到后面会破，我最近还在用安娜的活酵母眼霜。购物车放了ordinary的眼精华和一个橄榄树30毫升眼霜。,4338835204995314,None,None,None
61,抓狂的兽嘶,None,None,None,None,None,None,None,None,comment,安娜柏林那个铝管的眼霜也很好用呢～我已经准备要开始第三管啦,4338835204995314,None,None,None
62,北上广依然相信爱情101,None,None,None,None,None,None,None,None,comment,,4338595436715114,None,None,None
63,珍奇百趣靖桓越,None,None,None,None,None,None,None,None,comment,,4338595436715114,None,None,None
64,董小姐_31692,None,None,None,None,None,None,None,None,comment,我之前的敏感肌都弄好了已经，不然太烦了,4338592468242721,None,None,None
65,_RealWai,None,None,None,None,None,None,None,None,comment,回复@因为科研暴瘦十斤:是的吧哈哈哈,4338571882628659,None,None,None
66,因为科研暴瘦十斤,None,None,None,None,None,None,None,None,comment,P2说到我心里去了，使用感绝了哈哈哈哈,4338571882628659,None,None,None
67,阿诚哥的九姨太,None,None,None,None,None,None,None,None,comment,回复@_RealWai:这时候不是应该附赠链接吗！,4338571882628659,None,None,None
68,_RealWai,None,None,None,None,None,None,None,None,comment,回复@阿诚哥的九姨太:买！！特美！！,4338571882628659,None,None,None
69,阿诚哥的九姨太,None,None,None,None,None,None,None,None,comment,我要买那块单色眼影了,4338571882628659,None,None,None
70,_RealWai,None,None,None,None,None,None,None,None,comment,,4338571882628659,None,None,None
71,青檸啊-,None,None,None,None,None,None,None,None,comment,,4338571882628659,None,None,None
72,软绵绵仙女在泰国,None,None,None,None,None,None,None,None,comment,回复@_RealWai:放心没问题,4338571882628659,None,None,None
73,_RealWai,None,None,None,None,None,None,None,None,comment,回复@软绵绵仙女在泰国:下次到南宁记得找我哇～,4338571882628659,None,None,None
74,软绵绵仙女在泰国,None,None,None,None,None,None,None,None,comment,回复@_RealWai:好幸福！,4338571882628659,None,None,None
75,旭旭珍惜时时刻刻的幸福_lexy,None,None,None,None,None,None,None,None,comment,,4338498976738432,None,None,None
76,企鹅是卡卡啦,None,None,None,None,None,None,None,None,comment,,4338429381253114,None,None,None
77,可不能浪费这,None,None,None,None,None,None,None,None,comment,重燃我对addiction粉底的渴望！,4338429381253114,None,None,None
78,橙皮橘汁,None,None,None,None,None,None,None,None,comment,可以可以,4338429381253114,None,None,None
79,一只铝子,None,None,None,None,None,None,None,None,comment,所以是因为空气太干啦？,4338429381253114,None,None,None
80,大佬的人真可爱,None,None,None,None,None,None,None,None,comment,1111111,4338224694156619,None,None,None
81,安生Cathy,None,None,None,None,None,None,None,None,comment,1,4338224694156619,None,None,None
82,轻wy,None,None,None,None,None,None,None,None,comment,面霜超级好用,4338224694156619,None,None,None
83,zoro大歌歌,None,None,None,None,None,None,None,None,comment,刚入手,4338224694156619,None,None,None
84,Lip_g,None,None,None,None,None,None,None,None,comment,1,4338224694156619,None,None,None
85,孙彤彤5,None,None,None,None,None,None,None,None,comment,伊思的水乳求券,4338224694156619,None,None,None
86,华式冰激凌,None,None,None,None,None,None,None,None,comment,倍润也好用鸦,4338224694156619,None,None,None
87,墨汁的耳朵,None,None,None,None,None,None,None,None,comment,灰常好用啊！需要测评怡丽丝尔水乳。,4338224694156619,None,None,None
88,TOP的小淘气,None,None,None,None,None,None,None,None,comment,1,4338224694156619,None,None,None
89,大茹茹HJR,None,None,None,None,None,None,None,None,comment,敏感肌可以,4338224694156619,None,None,None
90,润润润Keigo,None,None,None,None,None,None,None,None,comment,,4337929029083982,None,None,None
91,你是谁怎么用我的手机号,None,None,None,None,None,None,None,None,comment,珂润使用感和你一模一样，卸防晒卸完了，此生不再见,4337929029083982,None,None,None
92,青天大老爷给你们讲故事,None,None,None,None,None,None,None,None,comment,回复@吐槽大王张壹猫:我有点爱上韩妆了！妍妍！,4337177708290404,None,None,None
93,吐槽大王张壹猫,None,None,None,None,None,None,None,None,comment,好的,4337177708290404,None,None,None
