,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
0,用户6613060161,香港,female,Lv.4,50,3,16,2019-01-31 22:59:00,2019-03-20 04:17:23,feed,#空瓶記2019#7.Eture化妝棉8.曼丹保濕潤肌面膜9.Crabtree護手霜(Evelynrose)10.雪花秀緻美潤白氣墊粉底液11.資生堂maquillage粉餅12.森田藥粧極奢華黃金特濃潤澤面膜13.Vichy溫泉水噴霧14.Crabtree護手霜（Gardener)15.Curel豐盈泡沫潔面乳​,4334659246183209,0,0,0
1,_blablaboom_,广西南宁,female,Lv.41,144,180,5882,2019-01-31 20:11:00,2019-03-20 04:17:45,feed,2018年第四季度空瓶常年回购：curel洗面奶其余都不回购​​​,4334616908669577,0,0,0
2,仨儿sama,其他,female,Lv.48,666,297787,2387,2019-01-31 20:00:00,2019-03-20 04:18:05,feed,仨儿测评|一月爱用品|终于在一月的最后一天把这个月的爱用品写出来了，本人混油/敏感肌/毛孔大/偶尔闭口长痘/角质层薄/泛红。关+转+评，2月11日揪一个宝给💰188变美基金|P1：SNP燕窝睡眠面膜|P2：Comodynes乳木果保湿面霜|P3：Heynature韩妮采鱼腥草水|P4：Eleg​展开全文c,4334614225189793,719,1001, 539
3,吃护肤品的猪猪,上海,female,Lv.19,147,11161,218,2019-01-31 12:25:00,2019-03-20 04:18:29,feed,想不到今天又有合集功课诞生了吧！老干皮的『12款爱用面霜』心得都认真记录在图片里了，希望姐妹们看得开心，拜个早年祝你们🐷年大吉1⃣️猪猪牌碎碎念2⃣️Curel珂润润浸保湿滋养乳霜，HR赫莲娜白绷带活颜修护舒缓面霜3⃣️akaran无添加多效保湿啫喱无油面霜，Perfectone6合1多效面霜4⃣️​展开全文c,4334499694941122,49,48, 60
4,黎贝贝日韩代购,上海,female,Lv.9,164,13627,749,2019-01-31 11:15:00,2019-03-20 04:18:50,feed,💞日本curel珂润保湿泡沫洗面奶150ml🌟长期自用洁面产品～推荐给敏感肌们，弱酸性，无香料，超丰富细腻的泡沫，用完脸上不紧绷，皮肤滑滑的，不油腻，很温和。打出的是立体的泡泡，味道很香，很好闻，用起来非常清爽，很舒服。非常适合干皮，敏感肌推荐！​,4334482000012626,0,0,0
5,靳小猫的微博,河南郑州,female,Lv.36,1161,812,13844,2019-01-31 09:33:00,2019-03-20 04:19:11,feed,🌟Cosmos大赏综合面霜类🏆珂润超保湿面霜Curel¥180传统的面霜质地，像白色奶油一样，比凝胶和啫哩状的面霜好吸收多了，一年四季都好用，只要你感觉皮肤干躁，又容易过敏，就应该来一罐这货，完全不油腻，保湿又滋润，干燥天气简直就靠它续命了。炒鸡推荐给孕妇、敏感肌～​展开全文c,4334456543898793,0,0,0
6,优惠圈儿,北京,female,Lv.4,42,184,29326,2019-01-31 08:15:00,2019-03-20 04:19:32,feed,淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！扫下方二维码关注公众号或公众号搜索【券儿帮】，点击关注，优惠多多淘宝券儿库~~~O网页链接京东券儿库~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接男装：​展开全文c,4334436818689232,0,0,0
7,澳洲珀斯日韩美淘铺,海外澳大利亚,female,Lv.22,499,252,1972,2019-01-30 22:32:00,2019-03-20 04:19:53,feed,#curel敏感干燥肌肤专用防晒霜#👊真正无添加配方，弱酸性、无香料、无色素、无酒精、不含阳光吸收剂，纯物理防晒，清爽易吸收的乳液型，使用后肌肤保湿不干涩，涂抹后无油腻感，透明不泛白，解决了干燥性敏感肌肤的困扰。💕​,4334290194001122,0,0,0
8,澳洲珀斯日韩美淘铺,海外澳大利亚,female,Lv.22,499,252,1972,2019-01-30 22:30:00,2019-03-20 04:20:14,feed,#curel敏感干燥肌肤专用防晒霜#👊真正无添加配方，弱酸性、无香料、无色素、无酒精、不含阳光吸收剂，纯物理防晒，清爽易吸收的乳液型，使用后肌肤保湿不干涩，涂抹后无油腻感，透明不泛白，解决了干燥性敏感肌肤的困扰。💕​,4334289657498345,0,0,0
9,听松观云,湖北十堰,male,Lv.14,691,460,2065,2019-01-30 20:01:00,2019-03-20 04:20:34,feed,国家药监局一纸禁令带来市场震动：“药妆”称谓大面积消失--财经--人民网以化妆品名义注册或备案的产品，宣称“药妆”“医学护肤品”等“药妆品”概念的，均属于违法行为。“药妆”称谓大面积消失1月26日，北青报记者分别登录淘宝、手机天猫、京东、苏宁易购、唯品会、网易考拉等电商平台，查看药​展开全文c,4334252222889141,0,0,0
10,木乃伊的海外淘,浙江,female,Lv.9,72,696,700,2019-01-30 19:22:00,2019-03-20 04:20:50,feed,出完的ipsa水、curel隔离、elixir眼霜、粉扑到啦​,4334242211049441,0,1,0
11,彩妆口红护肤品招代理,其他,male,Lv.4,247,159,360,2019-01-30 19:03:00,2019-03-20 04:21:11,feed,👏👏珂润水乳！强烈推荐！🇯🇵花王柯润，其实珂润的产品非常好用，且平价‼️专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样💧抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，95%​展开全文c,4334237618040544,0,0, 3
12,仙女儿要好好说话,海外美国,female,Lv.14,365,189,10000,2019-01-25 10:00:00,2019-03-20 04:21:33,feed,2018有珂润的陪伴本干皮宝宝特别幸福🥳卸妆油化妆水洗面奶面霜沐浴露洗发露护发素全是珂润💖亲测好用✌️2019希望我爱的人们身体健康诸事顺利天天开心🙏也愿最爱的珂润宝宝越来越好感谢你的陪伴✨2019也要继续陪我走鸭❤️@Curel珂润,4334225555379308,0,0,0
13,爱购券儿,北京东城区,female,Lv.9,178,389,34564,2019-01-30 16:13:00,2019-03-20 04:21:54,feed,京东淘宝天猫买年货，快来优惠圈儿领内部优惠券儿啦！微信扫描下方二维码关注公众号或公众号搜索【券儿帮】，点击关注，优惠多多淘宝券儿库~~~O网页链接京东券儿库~~~O网页链接9.9包邮：O网页链接母婴：O网页链接女装：O网页链接​展开全文c,4334194773852309,0,0,0
14,锴锴爸4890,海外,female,Lv.5,1120,29,6,2019-01-30 15:32:00,2019-03-20 04:22:15,feed,#尝一尝，开团啦#暗号:尝一尝+微博名(无暗号，不发货)宝贝七点半开团上架kate睫毛打底：O日本小蛮推荐Cosme大赏kate惊艳睫毛打底膏...canmake睫毛增长液：O日本人气cosme大赏canmake睫毛增长修护美...花王护手霜：O日本Cosme大赏TOP1花王A.trix胶原蛋白高保湿...minon氨基酸面膜：O微博推​展开全文c,4334184426109324,0,0,0
15,一条没有梦想的咸鱼干7788,海外,female,Lv.4,116,111,141,2019-01-30 12:51:00,2019-03-20 04:22:35,feed,空瓶记录NO.20+开瓶记录空瓶：curel珂润洁面，氨基酸晨间洁面，这个空瓶真的太快了…按压出来的直接是浓密的泡沫这点真加分，干皮用了不拔干，清洁能力怎么样不确定，因为都是早上用，有机会会回购开瓶接档：garnier氨基酸洁面，这个是囤对我最后一个晨间洁面了，400ml估计能用很久很久很久……​,4334143787759478,0,0,0
16,SUGI藥局,no location,female,Lv.5,35,21425,197,2019-01-30 12:34:00,2019-03-20 04:22:51,feed,【保湿滋润身体乳】皮肤容易干燥的小仙女可以试试从沐浴露入手。清洁身体的同时让肌肤获得滋润，锁住水分，一举两得！1黛丝恩diane香氛沐浴露精油保湿2乐敦CareCera温和清洁高保湿泡泡沐浴露替换装3LION狮王HADAKARA高保湿沐浴露4Minon美浓保湿泡沫沐浴露5​展开全文c,4334139496858429,1,0, 9
17,美美全球购m,其他,female,Lv.9,282,10665,9884,2019-01-30 10:37:00,2019-03-20 04:23:12,feed,我上传了一个视频💵99预定Curel珂润敏感肌用卸妆啫喱130g能彻底洁净藏于毛孔内的粉底及唇膏，同时保护肌肤内的天然保湿元素，柔软的卸妆啫喱能轻易卸除妆容，无需过度用力搓揉，减少引起肌肤敏感，冲洗后感觉舒爽洁净，绝无黏腻感​，而且有效...O网页链接​,4334110284165797,0,0,0
