,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
18,抛物线1307,山东青岛,male,Lv.34,179,259,218,2019-03-03 20:42:00,2019-03-14 13:25:19,feed,"杀软,压缩,浏览器都常见,QQ最好玩,C盘,D盘,E盘,F盘各N个..各盘类似D:\\ProgramFiles(x86)\qq,还有D:\\qq\ProgramFiles(x86),D:\\新建文件夹\ProgramFiles(x86),多半也不是妹纸的问题(怎么改安装目录?)怪她的不懂装懂的男友,改天电脑卡了,重启不好使,重装系统,安装QQ,D:\\新建文件夹(2)\qq",4346112703479920,0,0,0
19,吃蒜少女yangyangyang,河南洛阳,female,Lv.11,147,110,198,2019-02-28 21:27:00,2019-03-14 13:25:26,feed,上次看你的晚间护肤买回来了dprogram，这次又种草了精华和防晒!,4346044873781006,0,0, 1
20,SkulNogi,海外日本,male,Lv.4,46,2,22,2019-03-04 02:06:00,2019-03-14 13:27:40,feed,"GladtohearthatBananamanandN46arelocationshootinginOkinawa.Fromafewmonths,I'dheardrumorstheirprogramwillfinishinMarch.butItwasonlyfalserumor.🙂​​​",4345940279991634,0,0,0
21,小八爪_zhua,广东深圳,female,Lv.48,426,80082,21538,2019-03-03 12:53:00,2019-03-14 13:27:47,feed,软管装/对抗痘痘焱症许三多DProgram敏感肌防晒霜35GSPF30软管装/对抗痘痘焱症许三多DProgram敏感肌防晒霜35GSPF30​,4345740878557051,0,2, 4
22,晚来天欲雪ys,海外美国,female,Lv.30,18,135,864,2019-03-02 14:01:00,2019-03-14 13:27:53,feed,【资生堂dprogram】买的黄色油痘皮的夏天时用着觉得没感觉秋天觉得正好冬天觉得有些干倒是无功无过我这种敏感肌用着没过敏就是好东西了不会回购了​,4345395469949329,0,24,0
23,SUGI藥局,no location,female,Lv.5,34,19193,191,2019-03-02 12:22:00,2019-03-14 13:27:56,feed,【花粉季节的好选择】日本的花粉季节又开始了，鼻黏膜、眼睛受花粉的连番攻击，发痛发痒，十分难受。大家可以试一下下面的这些对抗花粉的神器，轻轻一喷，即可隔离花粉、细菌等，还你一个清爽的呼吸环境。对柳絮粉尘等都适用哦~1资生堂dprogram隔离花粉尘保湿喷雾2CARTECLINITY可​展开全文c,4345370497017138,4,0, 7
24,簌簌雪声,江苏,female,Lv.4,16,2,1984,2019-02-28 22:40:00,2019-03-14 13:27:59,feed,水乳快用完了，在考虑换什么牌子，怡丽丝尔这套之前用了过敏，停了一段时间，可能是用化妆棉擦太狠了。现在在考虑是理肤泉还是dprogram。敏感肌还是混油痘皮也太可怕了。​,4344801246242537,0,0,0
25,uCRobotics-威控睿博,no location,female,Lv.30,1947,19470,1871,2019-02-28 16:42:00,2019-03-14 13:28:05,feed,中国，上海（2019年2月22日）——全球桌面3D打印领军企业Ultimaker今日在上海举办的亚洲3D打印、增材制造展览会(TCT亚洲展)上宣布，Polymaker、Essentium已加入“Ultimaker材料联盟项目”（MaterialsAllianceProgram），此举将进一步为更多行业带来多种FFF桌面3D打印材料和应用选择。​,4344711349020678,0,0,0
26,燕麦奶青油炸一锅九宫格-,北京,female,Lv.19,97,41,876,2019-02-25 23:01:00,2019-03-14 13:28:08,feed,为啥dprogram跟什么一起抹都可以这么粘仿佛涂了胶水在脸上了​,4343719563591037,0,0,0
27,功课菌,其他,female,Lv.46,no follow,no follower,no weibo,2019-02-03 13:46:00,2019-03-14 13:28:54,feed,黛珂白檀眼唇卸，TheGinza卸妆油，欧莱雅SOURCE护发素，瑞妍洁面，资生堂DProgram敏感话题洁面，LAMER浓缩精华，LAMER精粹水，LAMER面霜，ALGENIST唇部精华，资生堂安耐晒，Sepai城市防晒，AWAKE防晒，CharlotteTibury魔法面霜，CPB妆前乳，ZELENS遮瑕笔，兰蔻菁纯粉霜，,4343190636871500,6,0, 19
28,正版假货,海外美国,male,Lv.4,7,8,13,2019-02-24 13:53:00,2019-03-14 13:29:00,feed,Kitbull/流浪猫与斗牛犬一只自由自在的流浪猫遇到一只看似凶恶的斗牛犬，他们之间会碰撞出怎样的友情呢？这是PIXAR新推出的动画系列项目SparkShortsprogram六部短片中的其中一部，这个项目意在发掘富有才华的青年动画人，喜欢的人请持续关注呦~导演：RosanaSullivan项目介绍：​展开全文c,4343219061407312,0,0,0
29,荞麦金,黑龙江哈尔滨,female,Lv.33,126,257,640,2019-02-23 22:24:00,2019-03-14 13:29:04,feed,#宝宝的少女心#新开瓶，dprogram，水清爽，乳液粘腻，希望能够稳定我的过敏肌​,4342985313031279,0,0,0
30,Rliny,上海静安区,male,Lv.48,723,340167,14338,not detected,2019-03-14 13:29:07,feed,#美妆视野#敏感肌又添美白希望一年前我就预告过许家专为敏感肌而生的女儿d-program安肌心语要进入国内，准备了这么久终于要上了！在此之际，DP又将于4月21日在日本市场推出全新的美白系列。专为那些使用普通美白产品后容易引起泛红刺激的皮肤设计，抑制黑色素生成从而预防斑点，并​展开全文c,4342508463292089,10,27, 50
31,吃糖c_827,福建福州,female,Lv.14,708,253,11475,2019-02-22 08:14:00,2019-03-14 13:29:11,feed,dprogram水乳太贵了吧！！！先买个旅行装​,4342409086687967,0,0,0
