,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
209,大奕奕,北京朝阳区,female,Lv.36,324,555,342,2018-03-06 20:47:00,2019-03-18 15:56:13,feed,终于快把skii用完啦神仙水反复买每次都坚持不下去用了两次盖子就掉马桶里了刚开始用的时候觉得特别好柜姐送的镜子也超好可是慢慢脸上有点爆痘但也会随着时间消下去一敏感我就换成minon和curel就会稳定本身是常年不长痘的皮不知道是不是薄皮不适合这个我发誓以后不要买大毫升装的小​展开全文c,4214675727596212,1,8,0
210,草莓酱的黑里S,海外英国,female,Lv.46,576,18508,879,2018-03-05 22:30:00,2019-03-18 15:56:16,feed,我TM为什么这么讨厌广口瓶...每次取的时候会卡在指甲里特恶心的感觉，棉棒每次取的量太少了要重复很多次，Curel这个霜可以抖一抖到边上然后手指取出来，然后刚刚一走神甩的太用力撒出来了，毁了我一块刚刚才拆开包装放进盒子里的inglot修容505​,4214339286557710,0,26, 5
211,_萌阿咦_,上海,female,Lv.44,664,612,12430,2018-03-05 15:37:00,2019-03-18 15:56:23,feed,#周一拆新#addiction液体腮红、curel润唇膏、黛珂抗皱精华乳​,4214235233816907,0,0, 1
212,爱弭-豆娘,江苏,female,Lv.42,369,3494,5597,2018-03-04 13:03:00,2019-03-18 15:58:43,feed,Curel卸妆蜜是一直反复囤货的，感觉真是这个价位做得最好的Minon的卸妆蜜，第一次用，乳液质地，没有香味，按摩打圈后，乳化也挺彻底，不过比Curel单价贵。NS-K盛洁面，之前用的是大葡萄的洁面慕斯，说实话感觉盛一般般，不会回购了。春夏季来临，入手了Obagi酵素洁面粉，去年用的是倩碧vc洁面​展开全文c,4213834074503091,0,12, 2
213,Gst_小管吃鱼,海外,female,Lv.48,414,629,19901,2018-03-01 20:00:00,2019-03-18 15:58:47,feed,#2018空瓶#珂润面霜，适合中性，干性，混合性，敏感性肌肤！无限回购！空瓶N+1次……不会用腻的，也没什么味道，就是少了点，希望你们家能出大瓶@Curel珂润​,4212851848023029,0,0, 2
214,梦里梦到醒不来的邪,no location,female,no rank,274,167173,897,2018-02-25 20:40:00,2019-03-18 15:59:30,feed,闲来无事翻了我TB记录我的回购TOP3曼丹眼卸9次共13瓶（后来用净姬了）CUREL面霜8瓶MOILIP润唇膏8管你们的TOP3呢～​,4211412349709982,3,98, 56
215,·肉不耐,上海黄浦区,female,Lv.40,586,4623,1316,2018-02-25 11:28:00,2019-03-18 15:59:34,feed,#motd#乳化ing随手一拍〈curel卸妆膏款玻璃唇〉你值得拥有哈哈哈哈​,4211273601741433,1,13, 3
216,binglingxuea,海外日本,female,Lv.27,227,223,847,2018-02-17 10:03:00,2019-03-18 15:59:40,feed,🌛Curel泡沫绵密，洗完脸后清爽不紧绷，非常温和。不知不觉已经回购了好几瓶了。2日本·东京​,4208353091424310,0,0,0
217,小马拉图,no location,female,no rank,213,177,846,2018-02-12 19:13:00,2019-03-18 15:59:43,feed,#今日贴纸打卡#日淘的包裹到啦，补了LUSH，小红帽，还有curel卸妆​,4206679366901322,0,2, 1
218,喜宝-Austin,北京朝阳区,female,Lv.32,1239,3232,487,2018-02-11 22:29:00,2019-03-18 15:59:48,feed,真愛.......curel​,4206366409448497,0,1, 1
219,阿sue酱是晓晓妹子,湖南,female,Lv.44,891,882,6208,2018-02-11 21:28:00,2019-03-18 15:59:52,feed,深冬到初春（？）的护肤品❤️💛（curel的面霜没有想象中好用…）​,4206351028553132,0,2, 1
220,傻May_may,广东广州,female,Lv.42,482,1203,17771,2018-02-07 15:04:00,2019-03-18 15:59:57,feed,#curel##O网页链接#當初叫人幫忙買面霜結果買錯了身體乳試了臉上不過敏「本人超級過敏體質」就頂著用了！到現今#空瓶#！真的很保水！保濕能力強！不油！我想我會回購！PS！一定要乾手用！​,4204804869732090,0,9, 2
221,美妆柯南,其他,male,Lv.32,175,1274812,919,not detected,2019-03-18 16:00:01,feed,今天给大家带来的是Curel珂润保湿面霜的真假辨别/鉴别对比功课，这款面霜已经蝉联3届cosme面霜类第一，快被大家给夸烂了，所以我就不多哔哔，你们直接看吧，记得看到最后，也不枉我周末更新！L美妆柯南的秒拍视频​,4139986041845865,1159,1151, 1473
222,叫我闫闷闷阿_,山西吕梁,female,Lv.34,432,486,945,2018-02-02 21:50:00,2019-03-18 16:00:09,feed,多会拔个草#Curel珂润#​,4203095158069558,0,4,0
223,小磊的日常,四川成都,female,Lv.28,348,155,849,2018-01-30 22:49:00,2019-03-18 16:00:14,feed,#空瓶#2018.NO.5curel卸妆啫喱卸妆确实蛮干净的，但是干手干脸真的好难推开​,4202022791701878,0,1,0
224,-Lixr-,其他,male,Lv.46,292,952,7935,2018-01-26 23:15:00,2019-03-18 16:00:18,feed,买东西为了满减想凑单，觉得curel的润唇膏很好用估计也就三四十块刚刚好，结果一搜天猫148元，昏厥过去​,4200579834010350,0,0,0
225,HJR带你买买买,no location,female,no rank,943,780,2162,2018-01-24 20:22:00,2019-03-18 16:00:20,feed,curel水乳​,4199811361774417,0,2,0
226,未央夏无眠,贵州贵阳,female,Lv.9,518,279,991,2018-01-22 08:26:00,2019-03-18 16:02:06,feed,除了curel水乳套装，其他的都可以。哈哈，我也要看起来像3万月薪。2贵阳·浣沙路​,4198906475302932,0,0,0
227,_张扣扣,其他,female,Lv.9,259,1207,67,2018-01-20 19:43:00,2019-03-18 16:02:11,feed,空瓶记录📋curel/珂润润浸保湿系列泡沫洁面+水+乳+面霜|肤质混油坐标四川用这套是12月到1月下旬讲真我觉得水乳霜用下来没有特别油腻虽然还是反光买之前很多人都说巨油emmmm可能我脸变干了？但油皮还是慎用它本身就是适合干皮的建议年轻肌肤使用~​,4198352034438952,2,0, 9
228,兔子钧钧钧君,广东广州,female,Lv.27,240,204,704,2018-01-20 14:17:00,2019-03-18 16:02:14,feed,#世界再大也要回家#收拾东西的时候才发现原来给Curel做了回忠实粉🙈这次回家一定要学化妆学化妆​,4198269993056091,0,14, 5
229,小莫西林,其他,male,Lv.44,400,819,7378,2018-01-20 12:34:00,2019-03-18 16:02:20,feed,curel面霜出滋润版了～​,4198244093208512,0,6,0
230,喜囊的阿金,浙江绍兴,female,Lv.35,504,794,219,2018-01-19 21:33:00,2019-03-18 16:02:26,feed,#18年空瓶记#2.curel洗面奶晨间洁面很适合的一款​,4198017411664604,0,1, 1
231,王芊灵Cherrie,no location,female,no rank,855,3034513,1942,2018-01-11 12:50:00,2019-03-18 16:02:28,feed,来到哈尔滨怎么能错过滑雪呢！1月11上午10:20在亚布力滑雪场，现场我将直播冰城肌肤滋润大挑战！一想到马上要去滑雪，心里就好激动啊！冰天雪地中，肌肤也需要被额外呵护，来看看@Curel珂润如何在冰雪世界中给我们肌肤持久保护，娱乐护肤两不误，届时我们还会有抽奖哦！一直播（ID：14139493），我们​展开全文c,4194986573962275,2015,2026, 2723
232,樱木家日代大表哥,no location,male,no rank,137,2222,342,2018-01-07 15:10:00,2019-03-18 16:02:32,feed,前两天到的终于拆了又是一个小时非常curel的表哥了L樱木家日代大表哥的秒拍视频​,4193572439945806,0,4, 4
233,專業行街精,香港中西区,female,Lv.37,66,988,3333,2018-01-07 12:43:00,2019-03-18 16:02:36,feed,"Minon#不負責任的使用感#選了滋潤型II.这牌子我会联想到curel，都主打防敏。卸妝妥妥的,可是我不喜歡,臭。洗臉泡温和不繃緊,喜。水非常滋潤很黏𣲷不喜歡但需要,幸好过一会黏𣲷感就沒了。乳非常喜歡,滋潤不黏𣲷。可是这配套不人性整套除了乳能用​展开全文c",4193535399837059,0,4, 1
234,Isabella很忙,山东,female,Lv.25,340,317,10980,2018-01-04 20:32:00,2019-03-18 16:02:40,feed,空瓶一枚curel的面霜评价都说很好可是在我心里还是替代不了高保湿霜白天用的话到中午会感觉脸上黏糊糊的。不会回购了。2聊城·中级法院​,4192566259877026,0,0, 1
235,树儿,其他,female,Lv.41,318,2396,450,2018-01-04 00:33:00,2019-03-18 16:02:45,feed,Curel的卸妆啫喱抹上去比唇彩效果好​,4192264546519892,0,1, 4
236,郁达索,福建泉州,female,Lv.32,460,236,1858,2017-12-26 21:56:00,2019-03-18 16:02:48,feed,@Curel珂润我有个疑问，为啥感觉今年珂润面霜严重缺货​,4189325908335876,0,23, 5
237,如许59294,湖南张家界,female,Lv.9,648,179,1684,2017-12-25 04:47:00,2019-03-18 16:02:53,feed,Curel-美图美妆，我的随身美肤管家@美图美妆O网页链接​,4188704598122073,0,0,0
238,彼得阿姨,海外,female,Lv.46,no follow,no follower,no weibo,2017-12-17 10:45:00,2019-03-18 16:04:33,feed,curel人家写的清清楚楚干燥肌用我个混油也真好意思​,4185895584474785,0,2,0
